unique_breed,matching_breed
Bermese Mountain Dog,tier_1
Collie (rough),tier_3
Bloodhound,tier_1
Poodle X,tier_3
Miniature Dachshund,tier_2
Spoodle,None
English Golden Retriever,tier_4
Belgian Shepherd (groenendael),tier_1
Cirneco dell'Etna,tier_1
Chocolate Lab,tier_3
Dachshund (smooth Haired),tier_2
Border Collie X,tier_3
Australian Stumpy Tail Cattle Dog,tier_3
Shar Pei,tier_1
Asian Semi-Longhair,tier_1
American Long Hair,tier_2
Russian,tier_1
Black And Tan Coonhound,tier_2
Staffy X,tier_1
Foxhound,None
Spaniel X,tier_1
German Shepherd Dog (stock Coat),tier_1
Boxer X,tier_4
Blackmouth Cur,tier_1
Jack Russell x,tier_1
Pomeranian X,tier_1
Yorkie/Shih-tzu mix,tier_1
American min Shepherd,tier_1
Red Bone Coon Hound,tier_1
Golden Retriever Mix,tier_4
Chihuahua/ Rat Terrier Mix,tier_2
american bull terrier,tier_2
Beagle/ Lab mix,tier_2
Short haired doxen,tier_1
Cotton Tail Bunny,tier_1
American bull dog,tier_2
pit/mixm Black/White,tier_4
Shih Tzu/Maltese Mix,tier_1
Westie Terrier Mix,tier_2
Shi Zu,tier_1
Shih Tzu/Poodle Mix Blck/Wht,tier_1
Mixed Blk/Wht,tier_1
French Mastiff,tier_1
yellow lab,tier_4
Shih Tzu/Bishon Mix,tier_1
Boykin Spaniel,tier_1
Bichon/Poodle mix,tier_3
Weimaraner/Lab Mix,tier_3
Newfoundland Black,tier_1
Doberman,tier_3
coonhound mix,tier_2
mix ??,tier_1
Maltese/Chi mix,tier_1
pointer/lab,tier_2
Yorkshire Terrier/dashound mix,tier_2
Heeler/jack Russell,tier_1
Maltese/pom mix,tier_1
English Setter,tier_2
American Staffordshire Terrier/ white,tier_2
border/lab,tier_4
Maltese/Lhasa mix,tier_1
Dutch Shepard,tier_1
Toy Poodle Apricot,tier_3
Silky Terrier Mix,tier_2
Lab/golden/mix,tier_4
Pit/Doxie Mix,tier_4
Havanese/BROWN,tier_1
klee kai,tier_1
shih/terrier mix,tier_2
Pit Bull - Blue,tier_4
Wire Haired Terrier,tier_2
Primo Carnera dog,tier_1
Labrador Retriever-Yellow,tier_4
jack russel/shepherd mix,tier_1
Aussie,tier_3
Shih Tzu/ Terrier mix,tier_2
Wolf/Shepherd mix,tier_1
English Mastiff Reverse Brindle,tier_1
owner couldnt give discernable breed.../MIX,tier_1
Pitt Tan,tier_1
Aussie Doodle,tier_3
Bernese/Aussie,tier_1
Rottweiler/Black and Tan,tier_3
BIRD!!!,tier_1
Pit Bull White,tier_4
Schnauzer mix,tier_1
Yorkie- Black and Tan,tier_1
Pit Bull/ Blue Nose,tier_1
Boston Terrier Mix/ Black Brindle w White,tier_2
Golden Retriever/ White,tier_4
Scnoodle,None
Beagle/ Tri Color,tier_2
Bichon Frise/maltese mix,tier_1
cocker mix,tier_1
Catahoula/aussie mix,tier_1
Rhodesian Ridgeback/Lab Mix,tier_2
German Sherpherd/Lab/Pit Bull Mix,tier_4
Lab/Heeler Mix,tier_4
Maltese/Poodle,tier_3
Border Collie/Lab/Boxer/Chow mix,tier_2
Siberian Husky Black/White,tier_4
Pitbull & Catahoula leopard mix,tier_4
Lab/Pitt Bull Mix,tier_1
West Highland Terrier,tier_2
Shiba Inu Mix,tier_2
Pomeranian mix,tier_1
Belgian Shepard,tier_1
Rottweiler/Shepard Mix,tier_3
Miniature Schnauzer/yorkie mix,tier_1
German Short haired pointer,tier_2
Pom/Chi,tier_1
GSD/Golden Mix,tier_1
Pug/ Boston mix,tier_2
Pit Bull mix,tier_4
German Shepard,tier_1
Malti-poo,tier_1
Border Collie/aussie mix,tier_3
Scottish Fold,tier_1
Shitzu poodle mix,tier_3
brn/blk/wht Yorkshire Terrier,tier_2
Mastiff,tier_1
Bull Terrier,tier_2
Australian Shepherd/mix,tier_3
Beagle/boxer mix,tier_2
Dutch Shepherd,tier_1
Labrador Retriever/Pit Bull mix,tier_4
Shih Tzu mix/ black & white,tier_1
Terrier Mix / White,tier_2
Chorkie Tan/Wht,tier_1
Hemmingway,tier_1
pit/pointer mix,tier_2
"Pitbull, brown brindle",tier_4
Maltese wht,tier_1
Poodle/Gray & White,tier_3
American Bulldog/Pug,tier_2
Pomeranian/white,tier_1
Rat/Jack Terrier Mix,tier_2
Poodle Mix White,tier_3
German Shepherd Dog  Sable,tier_1
chocolate lab,tier_3
French Bulldog  black/brindle,tier_1
Teddy Bear,tier_1
Pit bull/lab mix,tier_4
Cane Corso Blue,tier_1
Cane Corso Gray,tier_1
Shih Tzu/Yorkie/Jack Russell Mix,tier_1
pitmix,None
Pit Bul,tier_4
Labradoodle Chocolate,tier_3
Mix Brwn/Blck,tier_1
English Bulldog Red/Wht,tier_2
Rottweiler Blck/Tan,tier_3
Aussie Mix,tier_3
owner couldnt give me a discernable breed.../MIX,tier_1
Great Dane/Hound mix,tier_1
Rottweiler/German Shepherd Mix,tier_1
Border Collie Red/white,tier_1
Irish Terrier,tier_1
mix- Brindle,tier_1
Rottweiler Black/Tan,tier_3
jac russel/chihuahua,tier_1
Black Chihuahua mix,tier_1
Standard Poodle Black,tier_3
Maltese white,tier_1
border/lab mix,tier_4
Blue Heeler Mix/ Blue Merle,tier_1
Coonhound Mix/Black and Tan,tier_2
Pit Bull Mix/ Blue Brindle w White,tier_1
Pit Bull/ Red,tier_4
Lab-Pit Mix/ Black,tier_4
Pappillon,None
Boxer-Lab mix,tier_4
Lab-Boxer/ Black,tier_4
Lab-Hound Mix/ Brindle,tier_1
Australian Shepherd Black & White,tier_3
